adj_amb,cond_group,item,verb_bias,explanation,pronoun,pronoun_type,new_sent,question_answers,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,adj,german_adj_freq,german_adj_length,verb,german_verb_freq,german_verb_length,Susanne_avgRating_Score,story,question,left,right,left_pronoun,right_pronoun,correct
amb,1,9,neutral,congruent,er,unamb,"Der Richter klagte die Frau an, weil er seit einiger Zeit unmoralisch war und die Normen missachtete.",Was missachtete er? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmoralisch,2.3,11,klagte,2.97,6,43.75,"Der_Richter klagte die_Frau an, weil er seit einiger Zeit unmoralisch war und die_Normen missachtete.",Was missachtete er?,die Normen,die Daten,sie,sie,F
amb,2,9,neutral,congruent,sie,unamb,"Der Richter klagte die Frau an, weil sie seit einiger Zeit unmöglich war und die Unruhe verursachte.",Was verursachte sie? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmöglich,36.13,9,klagte,2.97,6,43.75,"Der_Richter klagte die_Frau an, weil sie seit einiger Zeit unmöglich war und die_Unruhe verursachte.",Was verursachte sie?,die Unruhe,die Daten,sie,sie,F
amb,3,9,neutral,congruent,sie,unamb,"Die Richterin klagte den Mann an, weil sie seit einiger Zeit unmoralisch war und die Normen missachtete.",Was missachtete sie? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmoralisch,2.3,11,klagte,2.97,6,43.75,"Die_Richterin klagte den_Mann an, weil sie seit einiger Zeit unmoralisch war und die_Normen missachtete.",Was missachtete sie?,die Normen,die Daten,sie,sie,F
amb,4,9,neutral,congruent,er,unamb,"Die Richterin klagte den Mann an, weil sie seit einiger Zeit unmöglich war und die Unruhe verursachte.",Was verursachte sie? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmöglich,36.13,9,klagte,2.97,6,43.75,"Die_Richterin klagte den_Mann an, weil sie seit einiger Zeit unmöglich war und die_Unruhe verursachte.",Was verursachte sie?,die Unruhe,die Daten,sie,sie,F
amb,5,9,neutral,congruent,er,amb,"Der Richter klagte den Mann an, weil er seit einiger Zeit unmoralisch war und die Normen missachtete.",Was missachtete er? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmoralisch,2.3,11,klagte,2.97,6,43.75,"Der_Richter klagte den_Mann an, weil er seit einiger Zeit unmoralisch war und die_Normen missachtete.",Was missachtete er?,die Normen,die Daten,sie,sie,F
amb,6,9,neutral,congruent,er,amb,"Der Richter klagte den Mann an, weil er seit einiger Zeit unmöglich war und die Unruhe verursachte.",Was verursachte er? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmöglich,36.13,9,klagte,2.97,6,43.75,"Der_Richter klagte den_Mann an, weil er seit einiger Zeit unmöglich war und die_Unruhe verursachte.",Was verursachte er?,die Unruhe,die Daten,sie,sie,F
amb,7,9,neutral,congruent,sie,amb,"Die Richterin klagte die Frau an, weil sie seit einiger Zeit unmoralisch war und die Normen missachtete.",Was missachtete sie? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmoralisch,2.3,11,klagte,2.97,6,43.75,"Die_Richterin klagte die_Frau an, weil sie seit einiger Zeit unmoralisch war und die_Normen missachtete.",Was missachtete sie?,die Normen,die Daten,sie,sie,F
amb,8,9,neutral,congruent,sie,amb,"Die Richterin klagte die Frau an, weil sie seit einiger Zeit unmöglich war und die Unruhe verursachte.",Was verursachte sie? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,unmöglich,36.13,9,klagte,2.97,6,43.75,"Die_Richterin klagte die_Frau an, weil sie seit einiger Zeit unmöglich war und die_Unruhe verursachte.",Was verursachte sie?,die Unruhe,die Daten,sie,sie,F
nonamb,9,9,neutral,congruent,er,unamb,"Der Richter klagte die Frau an, weil er seit einiger Zeit unbestechlich war und die Normen beachtete.",Was beachtete er? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unbestechlich,0.88,13,klagte,2.97,6,43.75,"Der_Richter klagte die_Frau an, weil er seit einiger Zeit unbestechlich war und die_Normen beachtete.",Was beachtete er?,die Normen,die Daten,sie,sie,F
nonamb,10,9,neutral,congruent,sie,unamb,"Der Richter klagte die Frau an, weil sie seit einiger Zeit kriminell war und die Unruhe verursachte.",Was verursachte sie? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,kriminell,11.35,9,klagte,2.97,6,43.75,"Der_Richter klagte die_Frau an, weil sie seit einiger Zeit kriminell war und die_Unruhe verursachte.",Was verursachte sie?,die Unruhe,die Daten,sie,sie,F
nonamb,11,9,neutral,congruent,sie,unamb,"Die Richterin klagte den Mann an, weil sie seit einiger Zeit unbestechlich war und die Normen beachtete.",Was beachtete sie? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unbestechlich,0.88,13,klagte,2.97,6,43.75,"Die_Richterin klagte den_Mann an, weil sie seit einiger Zeit unbestechlich war und die_Normen beachtete.",Was beachtete sie?,die Normen,die Daten,sie,sie,F
nonamb,12,9,neutral,congruent,er,unamb,"Die Richterin klagte den Mann an, weil er seit einiger Zeit kriminell war und die Unruhe verursachte.",Was verursachte er? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,kriminell,11.35,9,klagte,2.97,6,43.75,"Die_Richterin klagte den_Mann an, weil er seit einiger Zeit kriminell war und die_Unruhe verursachte.",Was verursachte er?,die Unruhe,die Daten,sie,sie,F
nonamb,13,9,neutral,congruent,er,amb,"Der Richter klagte den Mann an, weil er seit einiger Zeit unbestechlich war und die Normen beachtete.",Was beachtete er? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unbestechlich,0.88,13,klagte,2.97,6,43.75,"Der_Richter klagte den_Mann an, weil er seit einiger Zeit unbestechlich war und die_Normen beachtete.",Was beachtete er?,die Normen,die Daten,sie,sie,F
nonamb,14,9,neutral,congruent,er,amb,"Der Richter klagte den Mann an, weil er seit einiger Zeit kriminell war und die Unruhe verursachte.",Was verursachte er? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,kriminell,11.35,9,klagte,2.97,6,43.75,"Der_Richter klagte den_Mann an, weil er seit einiger Zeit kriminell war und die_Unruhe verursachte.",Was verursachte er?,die Unruhe,die Daten,sie,sie,F
nonamb,15,9,neutral,congruent,sie,amb,"Die Richterin klagte die Frau an, weil sie seit einiger Zeit unbestechlich war und die Normen beachtete.",Was beachtete sie? (die Normen / die Daten),accused,AgEvo,7,90,-2.0,2.0,unbestechlich,0.88,13,klagte,2.97,6,43.75,"Die_Richterin klagte die_Frau an, weil sie seit einiger Zeit unbestechlich war und die_Normen beachtete.",Was beachtete sie?,die Normen,die Daten,sie,sie,F
nonamb,16,9,neutral,congruent,sie,amb,"Die Richterin klagte die Frau an, weil sie seit einiger Zeit kriminell war und die Unruhe verursachte.",Was verursachte sie? (die Unruhe / die Daten),accused,AgEvo,7,90,-2.0,2.0,kriminell,11.35,9,klagte,2.97,6,43.75,"Die_Richterin klagte die_Frau an, weil sie seit einiger Zeit kriminell war und die_Unruhe verursachte.",Was verursachte sie?,die Unruhe,die Daten,sie,sie,F
amb,1,5,NP2,congruent,sie,unamb,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an inspiriert war und die Melodie summte.",Wen bewunderte der Liebhaber? (die Komponistin / die Zuschauerin),admired,ExpStim,7,74,2.0,-92.0,inspiriert,6.92,10,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte die_Komponistin, weil sie von Anfang an inspiriert war und die_Melodie summte.",Wen bewunderte der Liebhaber?,die Komponistin,die Zuschauerin,sie,sie,F
amb,2,5,NP2,incongruent,er,unamb,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an beflügelt war und die Harmonien entwickelte.",Wen bewunderte der Liebhaber? (die Komponistin / die Zuschauerin),admired,ExpStim,7,74,2.0,-92.0,beflügelt,1.66,9,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte die_Komponistin, weil er von Anfang an beflügelt war und die_Harmonien entwickelte.",Wen bewunderte der Liebhaber?,die Komponistin,die Zuschauerin,sie,sie,F
amb,3,5,NP2,congruent,er,unamb,"Die Liebhaberin bewunderte den Komponisten, weil er von Anfang an inspiriert war und die Melodie summte.",Wen bewunderte die Liebhaberin? (den Komponisten / den Passagier),admired,ExpStim,7,74,2.0,-92.0,inspiriert,6.92,10,bewunderte,1.17,10,50.0,"Die_Liebhaberin bewunderte den_Komponisten, weil er von Anfang an inspiriert war und die_Melodie summte.",Wen bewunderte die Liebhaberin?,den Komponisten,den Passagier,er,er,F
amb,4,5,NP2,incongruent,sie,unamb,"Die Liebhaberin bewunderte den Komponisten, weil sie von Anfang an beflügelt war und die Harmonien entwickelte.",Wen bewunderte die Liebhaberin? (den Komponisten / den Passagier),admired,ExpStim,7,74,2.0,-92.0,beflügelt,1.66,9,bewunderte,1.17,10,50.0,"Die_Liebhaberin bewunderte den_Komponisten, weil sie von Anfang an beflügelt war und die_Harmonien entwickelte.",Wen bewunderte die Liebhaberin?,den Komponisten,den Passagier,er,er,F
amb,5,5,NP2,congruent,er,amb,"Der Liebhaber bewunderte den Komponisten, weil er von Anfang an inspiriert war und die Melodie summte.",Wen bewunderte der Liebhaber? (den Komponisten / den Knecht),admired,ExpStim,7,74,2.0,-92.0,inspiriert,6.92,10,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte den_Komponisten, weil er von Anfang an inspiriert war und die_Melodie summte.",Wen bewunderte der Liebhaber?,den Komponisten,den Knecht,er,er,F
amb,6,5,NP2,incongruent,er,amb,"Der Liebhaber bewunderte den Komponisten, weil er von Anfang an beflügelt war und die Harmonien entwickelte.",Wen bewunderte der Liebhaber? (den Komponisten / den Knecht),admired,ExpStim,7,74,2.0,-92.0,beflügelt,1.66,9,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte den_Komponisten, weil er von Anfang an beflügelt war und die_Harmonien entwickelte.",Wen bewunderte der Liebhaber?,den Komponisten,den Knecht,er,er,F
amb,7,5,NP2,congruent,sie,amb,"Die Liebhaberin bewunderte die Komponistin, weil sie von Anfang an inspiriert war und die Melodie summte.",Wen bewunderte die Liebhaberin? (die Komponistin / die Tochter),admired,ExpStim,7,74,2.0,-92.0,inspiriert,6.92,10,bewunderte,1.17,10,50.0,"Die_Liebhaberin bewunderte die_Komponistin, weil sie von Anfang an inspiriert war und die_Melodie summte.",Wen bewunderte die Liebhaberin?,die Komponistin,die Tochter,sie,sie,F
amb,8,5,NP2,incongruent,sie,amb,"Die Liebhaberin bewunderte die Komponistin, weil sie von Anfang an beflügelt war und die Harmonien entwickelte.",Wen bewunderte die Liebhaberin? (die Komponistin / die Tochter),admired,ExpStim,7,74,2.0,-92.0,beflügelt,1.66,9,bewunderte,1.17,10,50.0,"Die_Liebhaberin bewunderte die_Komponistin, weil sie von Anfang an beflügelt war und die_Harmonien entwickelte.",Wen bewunderte die Liebhaberin?,die Komponistin,die Tochter,sie,sie,F
nonamb,9,5,NP2,congruent,sie,unamb,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und das Stück spielte.",Wen bewunderte der Liebhaber? (die Komponistin / die Zuschauerin),admired,ExpStim,7,74,2.0,-92.0,talentiert,2.73,10,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte die_Komponistin, weil sie von Anfang an talentiert war und das_Stück spielte.",Wen bewunderte der Liebhaber?,die Komponistin,die Zuschauerin,sie,sie,F
nonamb,10,5,NP2,incongruent,er,unamb,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an überzeugt war und das Ziel verfolgte.",Wen bewunderte der Liebhaber? (die Komponistin / die Zuschauerin),admired,ExpStim,7,74,2.0,-92.0,überzeugt,41.42,9,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte die_Komponistin, weil er von Anfang an überzeugt war und das_Ziel verfolgte.",Wen bewunderte der Liebhaber?,die Komponistin,die Zuschauerin,sie,sie,F
nonamb,11,5,NP2,congruent,er,unamb,"Die Liebhaberin bewunderte den Komponisten, weil er von Anfang an talentiert war und das Stück spielte.",Wen bewunderte die Liebhaberin? (den Komponisten / den Passagier),admired,ExpStim,7,74,2.0,-92.0,talentiert,2.73,10,bewunderte,1.17,10,50.0,"Die_Liebhaberin bewunderte den_Komponisten, weil er von Anfang an talentiert war und das_Stück spielte.",Wen bewunderte die Liebhaberin?,den Komponisten,den Passagier,er,er,F
nonamb,12,5,NP2,incongruent,sie,unamb,"Die Liebhaberin bewunderte den Komponisten, weil sie von Anfang an überzeugt war und das Ziel verfolgte.",Wen bewunderte die Liebhaberin? (den Komponisten / den Passagier),admired,ExpStim,7,74,2.0,-92.0,überzeugt,41.42,9,bewunderte,1.17,10,50.0,"Die_Liebhaberin bewunderte den_Komponisten, weil sie von Anfang an überzeugt war und das_Ziel verfolgte.",Wen bewunderte die Liebhaberin?,den Komponisten,den Passagier,er,er,F
nonamb,13,5,NP2,congruent,er,amb,"Der Liebhaber bewunderte den Komponisten, weil er von Anfang an talentiert war und das Stück spielte.",Wen bewunderte der Liebhaber? (den Komponisten / den Knecht),admired,ExpStim,7,74,2.0,-92.0,talentiert,2.73,10,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte den_Komponisten, weil er von Anfang an talentiert war und das_Stück spielte.",Wen bewunderte der Liebhaber?,den Komponisten,den Knecht,er,er,F
nonamb,14,5,NP2,incongruent,er,amb,"Der Liebhaber bewunderte den Komponisten, weil er von Anfang an überzeugt war und das Ziel verfolgte.",Wen bewunderte der Liebhaber? (den Komponisten / den Knecht),admired,ExpStim,7,74,2.0,-92.0,überzeugt,41.42,9,bewunderte,1.17,10,50.0,"Der_Liebhaber bewunderte den_Komponisten, weil er von Anfang an überzeugt war und das_Ziel verfolgte.",Wen bewunderte der Liebhaber?,den Komponisten,den Knecht,er,er,F
